"#","Name","Value","Manufacturer","Quantity","RefDes"
"1","CAP_0603","0.01uF","","2","C1, C12"
"2","CAP_0603","1uF","","4","C2, C8, C9, C10"
"3","CAP_0805","4.7uF","Nichicon","1","C5"
"4","CAP_3.5_8","470uF","","1","C6"
"5","CAP_0603","0.1uF","","1","C7"
"6","CAP_0805","10uF","","3","C11, C15, C20"
"7","CAP_1206","0.022uF","","2","C16, C17"
"8","CAP_1206","4.7uF","","2","C18, C19"
"9","UCD_size6.3x5.8","100uF","Nichicon","1","C21"
"10","CAP_0603","4.7uF","","2","C101, C102"
"11","PESD5V0S1BA","","NXP-Philips","1","D3"
"12","MBR0520L","MBR0520L","","4","D4, D6, D7, D10"
"13","LED0805","STATUS LED","","1","D8"
"14","LED0805","LOW VOLTAGE LED","","1","D9"
"15","LED0805","TRANSMIT_LED","","1","D11"
"16","LED0805","RECEIVE_LED","","1","D12"
"17","BAR43S","","","2","D13, D14"
"18","LED0805","CHARGE LED","","1","D101"
"19","LED0805","DC-IN LED","","1","D102"
"20","MultiFuse_SMD_1812","500mA","","1","F1"
"21","MF-USMF005","100mA","","1","FU3"
"22","HDR-1x2","Line","","1","J1"
"23","1-440247-1","","TE Connectivity","1","J2"
"24","HDR-1x2","ExtPower_In","","1","J3"
"25","HDR-1x2","Charge_In","","1","J4"
"26","HDR-1x2","","","2","J6, J7"
"27","CTIA Jack 3.5mm","","","1","J8"
"28","MHDR-1x2","Li-Pol","","1","J14"
"29","IRLML6401","","IR","3","Q3, Q7, Q8"
"30","IRLML2030TRPbF","","IR","3","Q4, Q9, Q10"
"31","RES_0603","220k","","2","R1, R33"
"32","3314G-1","20k","Bourns","3","R2, R28, R37"
"33","RES_0603","100","","5","R3, R4, R39, R42, R49"
"34","RES_0603","100k","","4","R6, R16, R17, R38"
"35","RES_0603","0","","2","R9, R10"
"36","RES_0603","75k","","1","R18"
"37","RES_0603","20k","","2","R19, R20"
"38","RES_0603","5.6k","","2","R21, R22"
"39","RES_0603","16k","","1","R23"
"40","RES_0603","51k","","2","R24, R25"
"41","RES_0603","1k","","2","R26, R101"
"42","RES_0603","1.2k","","1","R27"
"43","RES_0603","510k","","1","R34"
"44","RES_0603","200k","","1","R36"
"45","RES_0603","150","","3","R40, R41, R46"
"46","RES_0603","1K","","2","R45, R47"
"47","RES_0603","3.6K","","1","R48"
"48","RES_0603","2k","","1","R102"
"49","RES_0603","470","","1","R103"
"50","78601/8MC","","Murata","1","T1"
"51","MCP604","","Motorola","1","U2"
"52","MCP1700_TT","","Microchip","1","U3"
"53","SN74LVC1G3157DBVR","","Texas Instruments","1","U5"
"54","MCP602","","Motorola","1","U6"
"55","MCP73831","Li-pol charger","","1","U101"
