"#","Name","Pattern","Value","Manufacturer","Quantity","RefDes"
"1","CAP_0603","CAP_0603","0.01uF","","2","C1, C12"
"2","CAP_0603","CAP_0603","1uF","","4","C2, C8, C9, C10"
"3","CAP_0805","CAP_0805","4.7uF","Nichicon","1","C5"
"4","CAP_3.5_8","CAPPR- 3.5/8","470uF","","1","C6"
"5","CAP_0603","CAP_0603","0.1uF","","1","C7"
"6","CAP_0805","CAP_0805","10uF","","3","C11, C15, C20"
"7","CAP_1206","CAP_1206","0.022uF","","2","C16, C17"
"8","CAP_1206","CAP_1206","4.7uF","","2","C18, C19"
"9","UCD_size6.3x5.8","CAPAE-6.6x6.6h5.7","100uF","Nichicon","1","C21"
"10","PESD5V0S1BA","SOD-323","","NXP-Philips","1","D3"
"11","MBR0520L","SOD-123","MBR0520L","","4","D4, D6, D7, D10"
"12","LED0805","RES_0805","STATUS LED","","1","D8"
"13","LED0805","RES_0805","LOW VOLTAGE LED","","1","D9"
"14","LED0805","RES_0805","TRANSMIT_LED","","1","D11"
"15","LED0805","RES_0805","RECEIVE_LED","","1","D12"
"16","BAR43S","SOT23","","","2","D13, D14"
"17","MF-USMF005","RES_1210","100mA","","1","FU3"
"18","HDR-1x2","HDR-1x2","Line","","1","J1"
"19","HDR-1x2","HDR-1x2","ExtPower_In","","1","J3"
"20","HDR-1x2","HDR-1x2","","","2","J6, J7"
"21","CTIA Jack 3.5mm","ST-013 Jack 3,5mm 4 pin","","","1","J8"
"22","MHDR-1x2","MHDR2-1x2","Li-Pol","","1","J14"
"23","IRLML6401","SOT23","","IR","3","Q3, Q7, Q8"
"24","IRLML2030TRPbF","SOT23","","IR","3","Q4, Q9, Q10"
"25","RES_0603","RES_0603","220k","","2","R1, R33"
"26","3314G-1","3314G-1","20k","Bourns","3","R2, R28, R37"
"27","RES_0603","RES_0603","100","","5","R3, R4, R39, R42, R49"
"28","RES_0603","RES_0603","100k","","4","R6, R16, R17, R38"
"29","RES_0603","RES_0603","0","","2","R9, R10"
"30","RES_0603","RES_0603","75k","","1","R18"
"31","RES_0603","RES_0603","20k","","2","R19, R20"
"32","RES_0603","RES_0603","5.6k","","2","R21, R22"
"33","RES_0603","RES_0603","16k","","1","R23"
"34","RES_0603","RES_0603","51k","","2","R24, R25"
"35","RES_0603","RES_0603","1k","","1","R26"
"36","RES_0603","RES_0603","1.2k","","1","R27"
"37","RES_0603","RES_0603","510k","","1","R34"
"38","RES_0603","RES_0603","200k","","1","R36"
"39","RES_0603","RES_0603","150","","3","R40, R41, R46"
"40","RES_0603","RES_0603","1K","","2","R45, R47"
"41","RES_0603","RES_0603","3.6K","","1","R48"
"42","78601/8MC","786xx/XMC","","Murata","1","T1"
"43","MCP604","SOIC-14/150mil","","Motorola","1","U2"
"44","MCP1700_TT","SOT23","","Microchip","1","U3"
"45","SN74LVC1G3157DBVR","SOT23-6","","Texas Instruments","1","U5"
"46","MCP602","SOIC-8/150mil","","Motorola","1","U6"
